INDIVIDUALS	STRATA
fas05_red402	fas05
fas05_red403	fas05
fas05_red404	fas05
fas05_red405	fas05
fas05_red406	fas05
fas05_red407	fas05
fas05_red408	fas05
fas05_red409	fas05
fas05_red410	fas05
fas05_red411	fas05
fas05_red412	fas05
fas05_red413	fas05
fas05_red414	fas05
fas05_red415	fas05
fas05_red416	fas05
fas05_red417	fas05
fas05_red418	fas05
fas05_red419	fas05
fas05_red420	fas05
fas09_red700	fas09
fas09_red702	fas09
fas09_red703	fas09
fas09_red704	fas09
fas09_red706	fas09
fas09_red707	fas09
fas09_red708	fas09
fas09_red709	fas09
fas09_red710	fas09
fas09_red712	fas09
fas09_red790	fas09
fas09_red791	fas09
fas09_red792	fas09
fas09_red794	fas09
fas09_red795	fas09
fas09_red796	fas09
fas09_red797	fas09
fas09_red798	fas09
fas09_red800	fas09
fas09_red801	fas09
fas09_red802	fas09
fas09_red803	fas09
fas09_red804	fas09
fas13_red139	fas13
fas13_red144	fas13
fas13_red145	fas13
fas13_red146	fas13
fas13_red148	fas13
fas13_red150	fas13
fas13_red151	fas13
fas13_red152	fas13
fas13_red153	fas13
fas13_red154	fas13
fas13_red155	fas13
fas13_red162	fas13
fas13_red163	fas13
fas13_red165	fas13
fas13_red166	fas13
fas13_red167	fas13
fas13_red169	fas13
fas13_red170	fas13
fas13_red174	fas13
fas13_red287	fas13
fas13_red288	fas13
fas13_red290	fas13
fas13_red292	fas13
fas13_red297	fas13
fas13_red308	fas13
fas02_red631	fas02
fas02_red632	fas02
fas02_red633	fas02
fas02_red634	fas02
fas02_red635	fas02
fas02_red636	fas02
fas02_red637	fas02
fas02_red638	fas02
fas02_red639	fas02
fas02_red640	fas02
fas02_red641	fas02
fas02_red642	fas02
fas02_red643	fas02
fas02_red644	fas02
fas02_red645	fas02
fas02_red646	fas02
fas02_red647	fas02
fas02_red648	fas02
fas02_red649	fas02
fas02_red650	fas02
fas02_red651	fas02
fas02_red652	fas02
fas02_red653	fas02
fas02_red654	fas02
fas02_red655	fas02
fas02_red656	fas02
fas02_red657	fas02
fas02_red658	fas02
fas02_red659	fas02
fas02_red660	fas02
fas02_red661	fas02
fas02_red662	fas02
fas02_red663	fas02
fas02_red664	fas02
fas03_red596	fas03
